# codepoint	char	readings_display	readings_normalized	tones	freq	sources
U+9837	頷	ガン,カン,うなずく,あご	gan,kan,unazuku,ago	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9838	頸	ケイ,くび	kei,kubi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+983B	頻	ヒン,しきりに	hin,shikirini	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+983C	頼	ライ,たのむ,たのもしい,たよる	rai,tanomu,tanomoshii,tayoru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+983D	頽	タイ,くずれる	tai,kuzureru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+983E	頾	シ,ひげ,くちひげ	shi,hige,kuchihige	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9844	顄	カン,ゴン,おとがい	kan,gon,otogai	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9846	顆	カ,つぶ	ka,tsubu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9847	顇	スイ,シュツ,ジュウ,やつれる	sui,shutsu,juu,yatsureru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+984A	顊	イ,おとがい	i,otogai	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+984B	顋	サイ,あご,えら	sai,ago,era	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+984C	題	ダイ	dai	0	0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+984D	額	ガク,ひたい	gaku,hitai	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+984E	顎	ガク,あご,あぎと	gaku,ago,agito	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+984F	顏	ガン,かお	gan,kao	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9851	顑	カン,コン,ケン,きいろい	kan,kon,ken,kiiroi	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9852	顒	ギョウ,グ,おおきい	gyou,gu,ookii	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9853	顓	セン,うやうやしい	sen,uyauyashii	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9854	顔	ガン,かお	gan,kao	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9855	顕	ケン,あきらか,あらわれる	ken,akiraka,arawareru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9856	顖	シン,シ,ひよめき	shin,shi,hiyomeki	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9857	顗	ギ,ゲ,ガイ,うやうやしい	gi,ge,gai,uyauyashii	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9858	願	ガン,ねがう,ねがい	gan,negau,negai	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9859	顙	ソウ,ひたい	sou,hitai	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+985A	顚	テン,いただき,たおれる	ten,itadaki,taoreru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+985B	顛	テン,いただき,たおれる	ten,itadaki,taoreru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+985E	類	ルイ,たぐい	rui,tagui	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9862	顢	バン,マン,おおきなかお	ban,man,ookinakao	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9863	顣	シュク,セキ,シャク	shuku,seki,shaku	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9865	顥	コウ,しろい	kou,shiroi	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9866	顦	ショウ,やつれる	shou,yatsureru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+9867	顧	コ,かえりみる	ko,kaerimiru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+986A	顪	カイ,ケ,ほお	kai,ke,hoo	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+986B	顫	セン,ふるえる	sen,furueru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+986C	顬	ジュ,ニュ,こめかみ	ju,nyu,komekami	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+986F	顯	ケン,あきらか,あらわれる	ken,akiraka,arawareru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9870	顰	ヒン,ひそめる,しかめる	hin,hisomeru,shikameru	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9871	顱	ロ,かしら,あたま	ro,kashira,atama	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+9873	顳	ショウ	shou	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+9874	顴	ケン,カン	ken,kan	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98A8	風	フウ,フ,かぜ,かざ	fuu,fu,kaze,kaza	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98AA	颪	おろし	oroshi	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+98AB	颫	フ	fu	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+98AD	颭	セン,そよぐ	sen,soyogu	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98AE	颮	ヒョウ,つむじかぜ	hyou,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98AF	颯	サツ,ソウ,さっと	satsu,sou,satto	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98B0	颰	ハツ,ホチ,バチ,フツ,ブチ,ヘツ,はやて	hatsu,hochi,bachi,futsu,buchi,hetsu,hayate	0,0,0,0,0,0,0	0,0,0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98B1	颱	タイ	tai	0	0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98B4	颴	セン,つむじかぜ	sen,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98B6	颶	グ,ク	gu,ku	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98B7	颷	ヒョウ,つむじかぜ	hyou,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98B8	颸	シ,すずしいかぜ	shi,suzushiikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98BA	颺	ヨウ,あげる	you,ageru	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98BB	颻	ヨウ	you	0	0	KANJIDIC,PYPINYIN,UNIHAN
U+98BF	颿	ハン,ボン,ヘン,はしる	han,bon,hen,hashiru	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98C2	飂	リュウ,ル,リク,ロク,ふく	ryuu,ru,riku,roku,fuku	0,0,0,0,0	0,0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98C3	飃	ヒョウ,ひるがえる,つむじかぜ	hyou,hirugaeru,tsumujikaze	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98C4	飄	ヒョウ,ひるがえる,つむじかぜ	hyou,hirugaeru,tsumujikaze	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98C5	飅	リュウ,ル,ふく	ryuu,ru,fuku	0,0,0	0,0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98C6	飆	ヒョウ,つむじかぜ	hyou,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN,WORDSHK_CHARS
U+98C7	飇	ヒョウ,つむじかぜ	hyou,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98C8	飈	ヒョウ,つむじかぜ	hyou,tsumujikaze	0,0	0,0	KANJIDIC,PYPINYIN,UNIHAN
U+98CC	飌	フウ,フ,かぜ,かざ	fuu,fu,kaze,kaza	0,0,0,0	0,0,0,0	KANJIDIC,PYPINYIN,UNIHAN
