矼,강
穅,강
繈,강
罡,강
羗,강
羫,강
茳,강
豇,강
韁,강
㓻,강
㔔,강
㛨,강
㝩,강
㟠,강
㟵,강
㢜,강
㧏,강
㩖,강
㭃,강
㭎,강
㱂,강
㳾,강
㹔,강
㼚,강
㼹,강
㽘,강
㾤,강
䃃,강
䃨,강
䆲,강
䌉,강
䕬,강
䗧,강
䗵,강
䚗,강
䡉,강
䥒,강
䬕,강
䴚,강
冈,강
冮,강
刚,강
勥,강
匟,강
唴,강
啌,강
嗴,강
囥,강
堽,강
夅,강
奋,강
嫝,강
岗,강
峕,강
嵹,강
嵻,강
弜,강
弶,강
強,강
掆,강
摃,강
摾,강
棡,강
椌,강
槺,강
溬,강
漒,강
漮,강
焵,강
牨,강
犅,강
犟,강
犺,강
猐,강
獇,강
玒,강
玜,강
琷,강
瓨,강
畕,강
疅,강
砊,강
碙,강
礓,강
筻,강
粇,강
糡,강
糨,강
繦,강
繮,강
绛,강
缰,강
翞,강
耩,강
膙,강
葁,강
蔃,강
蜣,강
袶,강
謽,강
讲,강
躿,강
鎠,강
鏮,강
鏹,강
钢,강
镪,강
顜,강
介,개
价,개
個,개
凱,개
塏,개
愷,개
愾,개
慨,개
改,개
槪,개
漑,개
疥,개
皆,개
盖,개
箇,개
芥,개
蓋,개
鎧,개
開,개
剴,개
匃,개
揩,개
槩,개
玠,개
磕,개
闓,개
㑘,개
㕢,개
㝏,개
㠹,개
㨟,개
㪡,개
㮣,개
㯼,개
㱾,개
㿍,개
䁗,개
䃈,개
䇒,개
䏗,개
䐩,개
䐴,개
䒓,개
䡷,개
䤤,개
䪱,개
䯰,개
䰺,개
䱄,개
䲸,개
丐,개
个,개
丯,개
乢,개
凯,개
剀,개
勓,개
匄,개
吤,개
喈,개
嗰,개
嘅,개
垲,개
奒,개
媘,개
尬,개
岕,개
幆,개
庎,개
开,개
忋,개
忦,개
恺,개
戤,개
摡,개
斺,개
暟,개
概,개
湝,개
溉,개
炌,개
炏,개
烗,개
煯,개
犗,개
琾,개
