# golden parity table for FUZZY_HEPBURN_KUNREI: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
kiriwara	
kiroguramu	
kiromeetoru	
kirorittoru	
kiru	
kisaki	
kisasage	
kiseru	
kishi	kisi
kishigatakai	kisigatakai
kishimu	kisimu
kishiru	kisiru
kisou	
kissaki	
kisu	
kita	
kitaeru	
kitanai	
kitaru	
kitasu	
kitsu	kitu
kitsune	kitune
kiwa	
kiwada	
kiwamari	
kiwamaru	
kiwameru	
kiwami	
kiyoi	
kiyomaru	
kiyomeru	
kizahashi	kizahasi
kizami	
kizamu	
kizashi	kizasi
kizasu	
kizu	
kizuitami	
kizuku	
kizuna	
kizutsukeru	kizutukeru
kizutsuku	kizutuku
kko	
ko	
kobachi	kobati
kobako	
kobamu	
kobato	
kobihetsurau	kobiheturau
kobiru	
koboke	
kobone	
koboreru	
kobosu	
kobotsu	kobotu
kobu	
kobunagusa	
kobune	
kobura	
kobushi	kobusi
kochi	koti
kodama	
kodanuki	
kodomo	
koe	
koeda	
koeru	
kogame	
kogane	
kogarashi	kogarasi
kogareru	
kogasu	
kogeru	
kogoeru	
kogome	
kogomu	
kogoraseru	
kogorasu	
kogoru	
kogu	
kohada	
kohai	
kohaze	
kohitsuji	kohitsuzi,kohituji
koi	
koinegau	
koinegawakuha	
koishi	koisi
koishii	koisii
koishitau	koisitau
kojika	kozika
kojireru	kozireru
kojiri	koziri
kojiru	koziru
kojishi	kojisi,kozishi
kokage	
koke	
kokera	
koki	
koko	
kokochiyoi	kokotiyoi
kokoni	
kokono	
kokonotsu	kokonotu
kokoro	
kokorogatagau	
kokoromidareru	
kokoromiru	
kokoroyoi	
kokorozashi	kokorozasi
kokorozasu	
koku	
kokubi	
kokumotsu	kokumotu
kokutan	
kokuzoumushi	kokuzoumusi
koma	
komai	
komaka	
komakai	
komaneku	
komanuku	
komaru	
kome	
komegura	
komekami	
komeru	
komi	
komichi	komiti
komo	
komogomo	
komono	
komoru	
komu	
komugi	
komura	
kon	
kona	
konagaki	
konamochi	konamoti
konatsume	konatume
koneawaseru	
koneru	
konida	
kono	
konomi	
konomu	
konoshiro	konosiro
konoyouna	
konoyouni	
konzu	
koori	
koorogi	
kooru	
koraeru	
korashimeru	korasimeru
korasu	
kore	
korera	
kori	
koriru	
koro	
korobu	
korogaru	
korogasu	
korogeru	
koromo	
koromokake	
koronbiumu	
korosu	
koru	
kosame	
koshi	kosi
koshibone	kosibone
koshikake	kosikake
koshikakeru	kosikakeru
koshiki	kosiki
koshimoto	kosimoto
koshiraeru	kosiraeru
kosogeru	
kosu	
kosui	
kosureru	
kosuru	
kotae	
kotaeru	
kote	
koto	
kotoba	
kotobagauruwashii	kotobagauruwasii
kotobuki	
kotobuku	
kotogoto	
kotogotoku	
kotohogu	
kotonaru	
kotowari	
kotowaru	
kotowaza	
kotsu	kotu
kou	
koubashii	koubasii
kouboumugi	
kougai	
kouji	kouzi
koujiru	kouziru
koumori	
koumuru	
kounotori	
kouri	
kourougaookii	
kouru	
koushi	kousi
kousu	
kouzo	
kowa	
kowagaru	
kowai	
kowareru	
kowasu	
koya	
koyashi	koyasi
koyasu	
koyomi	
kozakashii	kozakasii
kozato	
kozoru	
kozue	
ku	
kubaru	
kubi	
kubihaneru	
kubikase	
kubikazari	
kubiki	
kubikiru	
kubireru	
kubiru	
kubisu	
kubo	
kubomaru	
kubomi	
kubomu	
kuchi	kuti
kuchibashi	kuchibasi,kutibashi
kuchibiru	kutibiru
kuchigayugamu	kutigayugamu
kuchihige	kutihige
kuchimoto	kutimoto
kuchinashi	kuchinasi,kutinashi
kuchinohibi	kutinohibi
kuchiru	kutiru
kuchisaki	kutisaki
kuchisosogu	kutisosogu
kuchisusugu	kutisusugu
kuchiwaki	kutiwaki
kuchizusamu	kutizusamu
kuda	
kudakeru	
kudaku	
kudan	
kudari	
kudaru	
kudasaru	
kudasu	
kude	
kudoi	
kudokudo	
kugi	
kugiri	
kugiru	
kugui	
kugumaru	
kugurido	
kuguru	
kui	
kuichigau	kuitigau
kuimono	
kuiru	
kuji	kuzi
kujikeru	kuzikeru
kujiku	kuziku
kujira	kuzira
kujiri	kuziri
kujiru	kuziru
kukeru	
kuki	
kuku	
kukurigami	
kukuru	
kuma	
kumazemi	
kume	
kumi	
kumihimo	
kumisuru	
kumo	
kumori	
kumoru	
kumu	
kun	
kuni	
kunitsukami	kunitukami
kunugi	
kunzuru	
kuooto	
kura	
kuraberu	
kurai	
kuramu	
kurasu	
kurau	
kurawasu	
kure	
kurenai	
kureru	
kuri	
kurige	
kuriya	
kuro	
kurodake	
kurogane	
kurogome	
kuroi	
kurokami	
kurokibi	
kurokurige	
kuronawa	
kurozumu	
kuru	
kurubushi	kurubusi
kuruma	
kurumagi	
kurumazaki	
kurumeku	
kurumu	
kuruoshii	kuruosii
kururiya	
kurushii	kurusii
kurushimeru	kurusimeru
kurushimu	kurusimu
kuruu	
kuruwa	
kusa	
kusabi	
kusabie	
kusabuki	
kusagiru	
kusai	
kusakanmuri	
kusame	
kusami	
kusamura	
kusanomi	
kusanomuragari	
kusarasu	
kusare	
kusareru	
kusari	
kusaru	
kusasu	
kusatori	
kuse	
kuseni	
kushami	kusyami
kushi	kusi
kushige	kusige
kushikezuru	kusikezuru
kushiki	kusiki
kushikumo	kusikumo
kushiro	kusiro
kuso	
kusu	
kusuberu	
kusuburu	
kusuguru	
kusunoki	
kusuri	
kusushi	kususi
kutabireru	
kute	
kutsu	kutu
kutsubami	kutubami
kutsugaeru	kutugaeru
kutsugaesu	kutugaesu
kutsukazari	kutukazari
kutsurogu	kuturogu
kutsushiki	kutsusiki,kutushiki
kutsushita	kutsusita,kutushita
kutsuwa	kutuwa
kuu	
kuwa	
kuwadateru	
kuwaeru	
kuwai	
kuwanomi	
kuwashii	kuwasii
kuwawaru	
kuyamu	
kuyashii	kuyasii
kuyurasu	
kuzu	
kuzununo	
kuzure	
kuzurekakaru	
kuzureru	
kuzusu	
kya	
kyaku	
kyan	
kyo	
kyoku	
kyou	
kyuku	
kyuu	
ma	
maa	
mabara	
mabayui	
maboroshi	maborosi
mabuchi	mabuti
mabushi	mabusi
mabushii	mabusii
mabuta	
machi	mati
mada	
madaharanuho	
madara	
madarauma	
madaraushi	madarausi
made	
mado	
madoka	
madou	
madowasu	
mae	
maedare	
maekake	
maga	
magai	
magaki	
magariba	
magaru	
mage	
mageashi	mageasi
magemono	
mageru	
magete	
magirasu	
magirawashii	magirawasii
magirawasu	
magire	
magireru	
mago	
magokoro	
maguneshiumu	magunesiumu
maguro	
magusa	
magusagura	
magusakau	
mahiru	
mai	
mainai	
mainau	
mairu	
maji	mazi
majieru	mazieru
majikoru	mazikoru
majinai	mazinai
majinau	mazinau
majiri	maziri
majiriau	maziriau
majirogu	mazirogu
majiru	maziru
majiwaru	maziwaru
makanau	
makari	
makaseru	
makasu	
makeru	
maki	
makiba	
makigamae	
makigane	
makihada	
makomo	
makoto	
makotoni	
maku	
makura	
makureru	
makuru	
mama	
mame	
mamegara	
mamejiru	mameziru
mami	
mamidanuki	
mamieru	
mamireru	
mamori	
mamoru	
mamushi	mamusi
man	
mana	
manabiya	
manabu	
managatsuo	managatuo
manaita	
manajiri	manaziri
manako	
manazuru	
maneku	
mangan	
manimani	
manji	manzi
manugareru	
manukareru	
mare	
mari	
maro	
marobu	
maroudo	
maroyaka	
maru	
marui	
maruki	
marukibashi	marukibasi
marumeru	
maruyaki	
masa	
masakari	
masaki	
masame	
masani	
masanibeshi	masanibesi
masaru	
mashi	masi
mashimasu	masimasu
mashite	masite
massugu	
massugudetakai	
masu	
masugata	
masuru	
mata	
matagaru	
matagu	
matagura	
matano	
matataku	
mate	
mato	
matoi	
matomaru	
matomeru	
matou	
matsu	matu
matsuge	matuge
matsuri	maturi
matsurigoto	maturigoto
matsuru	maturu
matsuwaru	matuwaru
matsuyani	matuyani
mattaku	
mattashi	mattasi
mau	
mawari	
mawaru	
mawashi	mawasi
mawasu	
mayou	
mayu	
mayumi	
mayuzumi	
mazaru	
mazeru	
mazu	
mazushii	mazusii
me	
meawaseru	
mebae	
mebaeru	
mebaru	
mechi	meti
mederu	
medetaikumo	
medogi	
meetoru	
megawara	
megumi	
megumu	
megurasu	
meguri	
meguriyuku	
meguru	
mehajiki	mehaziki
mehitsuji	mehitsuzi,mehituji
mei	
meisuru	
meitadaki	
mejika	mezika
mejiri	meziri
mejirushinonuno	mejirusinonuno,mezirushinonuno
mekake	
mekata	
mekki	
mekura	
mekuru	
mekuwaseru	
mekuwasu	
memai	
men	
meoto	
meshi	mesi
meshii	mesii
mesu	
metoru	
metsu	metu
meu	
mezaru	
mezurashii	mezurasii
mi	
miageru	
michi	miti
michibiku	mitibiku
michiru	mitiru
mida	
midara	
midare	
midareru	
midari	
midarigamashii	midarigamasii
midarini	
midaru	
midasu	
midori	
midorigo	
mienu	
mieru	
migaku	
migarui	
migi	
migiri	
migiwa	
migoi	
migomoru	
migoro	
mihari	
miharu	
mijikai	mizikai
mijime	mizime
mika	
mikado	
miki	
miko	
mikotonori	
mikuri	
mimakaru	
mimashi	mimasi
mimawasu	
mimeyoi	
mimi	
mimidama	
mimidare	
mimikazari	
mimikiri	
mimikiru	
mimikuso	
miminagusa	
miminari	
mimishii	mimisii
mimizatoi	
mimizu	
mimizuku	
min	
mina	
minagiru	
minagoroshi	minagorosi
minami	
minamoto	
minashigo	minasigo
minato	
mine	
minikui	
minikuisugata	
minna	
mino	
minori	
minoru	
minowata	
mio	
miri	
miriguramu	
mirimeetoru	
miririttoru	
miru	
misago	
misaki	
misao	
misasagi	
mise	
miseru	
miso	
misogi	
misoka	
misonawasu	
mitamaya	
mitasu	
mitomeru	
mitsu	mitu
mitsugu	mitugu
mitsumeru	mitumeru
mitsurou	miturou
mitsuru	mituru
mittsu	
miuchi	miuti
miya	
miyabi	
miyabiyaka	
miyako	
miyakogae	
miyouga	
mizo	
mizogoisagi	
mizore	
mizu	
mizuai	
mizuchi	mizuti
mizugane	
mizugiwa	
mizukaki	
mizukara	
mizumori	
mizunoe	
mizunoto	
mizura	
mizutade	
mizuumi	
mo	
mochi	moti
mochiasobu	motiasobu
mochiawa	motiawa
mochigome	motigome
mochii	motii
mochiiru	motiiru
mochinoki	motinoki
mochizao	motizao
mochizuki	motizuki
modaeru	
modasu	
modoki	
modoru	
modosu	
moeagaru	
moenokori	
moeru	
moesashi	moesasi
mofuku	mohuku
mogaku	
mogasa	
mogiru	
mogu	
mogubuku	
mogura	
moguramochi	moguramoti
moguru	
mogusa	
moji	mozi
mojiri	moziri
mojiru	moziru
mokko	
moku	
mokume	
mokusei	
mokusuru	
momennonuno	
momeru	
momi	
momigara	
momiji	momizi
momo	
momu	
mon	
monban	
monme	
mono	
monoimi	
monomi	
monosashi	monosasi
monoui	
monukeru	
moppara	
morasu	
morau	
moreru	
mori	
moro	
moroi	
moromi	
moromoro	
moru	
moshi	mosi
moshikuha	mosikuha
moshikuwa	mosikuwa
mosu	
mosuso	
motageru	
motai	
motarasu	
motareru	
mote	
moteasobu	
motenasu	
moteru	
moto	
motodori	
motoi	
motomeru	
motooru	
motoru	
motouru	
motoyori	
motoyui	
motsu	motu
motsureru	motureru
motte	
mottomo	
mou	
mouderu	
moukaru	
mouke	
moukeru	
mousen	
moushi	mousi
mousu	
moya	
moyaibune	
moyasu	
moyau	
moyoosu	
moyousu	
mozu	
mu	
muchi	muti
muchiutsu	muchiutu,mutiutsu
mugi	
mugigayu	
mugiko	
mugikogashi	mugikogasi
mugoi	
mugura	
mui	
mujina	muzina
mukabaki	
mukaeru	
mukai	
mukaiau	
mukashi	mukasi
mukatsuku	mukatuku
mukau	
muke	
mukeru	
muki	
muko	
mukou	
muku	
mukuge	
mukuinu	
mukuiru	
mukuro	
muna	
munagai	
munagi	
munashii	munasii
mune	
mura	
muragaru	
murasaki	
murasu	
mure	
mureiru	
mureru	
muro	
muroa	
muroaji	muroazi
musaborioshimu	musaboriosimu
musaboru	
musasabi	
musebu	
museru	
mushi	musi
mushiatsui	mushiatui,musiatsui
mushiba	musiba
mushibamu	musibamu
mushimeshi	musimesi
mushiritoru	musiritoru
mushiro	musiro
mushiru	musiru
musouami	
musu	
musubu	
musume	
musumemuko	
mutsu	mutu
mutsubu	mutubu
mutsukashii	mutsukasii,mutukashii
mutsuki	mutuki
mutsumajii	mutsumazii,mutumajii
mutsumu	mutumu
mutsuyubi	mutuyubi
muttsu	
muzukashii	muzukasii
myaku	
myou	
myouto	
myuku	
myuu	
na	
nabe	
nabezumi	
nabiku	
naburu	
nachi	nati
nada	
nadameru	
naderu	
nado	
nae	
naeru	
nagaame	
nagae	
nagai	
nagaihari	
nagajuban	nagazyuban
nagame	
nagameru	
nagara	
nagaraeru	
nagare	
nagareru	
nagasa	
nagashi	nagasi
nagashime	nagasime
nagasu	
nage	
nagekawashii	nagekawasii
nageki	
nageku	
nageru	
nageutsu	nageutu
nagi	
nagisa	
nagomu	
nagoyaka	
nagu	
naguru	
nagusameru	
nagusamu	
nai	
naigashiro	naigasiro
najimu	nazimu
naka	
nakaba	
nakagai	
nakama	
nakare	
naki	
nakigoe	
nakihaha	
nakoudo	
naku	
nama	
namagane	
namagusa	
namagusai	
namajii	namazii
namakeru	
namakura	
namamekashii	namamekasii
namameku	
namari	
namaru	
namasu	
namazu	
nameraka	
nameru	
nameshigawa	namesigawa
namesu	
nametoru	
nami	
namida	
namisuru	
namuchi	namuti
nan	
nana	
naname	
nanameniyuku	
nanatsu	nanatu
nani	
nanigashi	nanigasi
nanji	nanzi
nannantosu	
nano	
nanzo	
nao	
naoi	
naoki	
naoru	
naosu	
nara	
naraberu	
narabini	
narabitatsu	narabitatu
narabu	
narai	
naranoki	
narasu	
narau	
nare	
nareru	
nareshika	naresika
nari	
naru	
naruhajikami	naruhazikami
nasake	
nase	
nashi	nasi
nasu	
nata	
natsu	natu
natsukashii	natsukasii,natukashii
natsukashimu	natsukasimu,natukashimu
natsukeru	natukeru
natsuku	natuku
natsume	natume
natsuzemi	natuzemi
nau	
nawa	
nawate	
nayamashii	nayamasii
nayamasu	
nayami	
nayamu	
nayoyakana	
nazo	
nazoraeru	
nazukeru	
nazumu	
nazuna	
ne	
nebari	
nebaritsuku	nebarituku
nebaru	
nebatsuchi	nebatsuti,nebatuchi
neburu	
nechi	neti
neesan	
negai	
negau	
negi	
negira	
negirai	
negirau	
negoto	
negura	
neguruma	
nei	
neiki	
neiru	
nejikeru	nezikeru
nejikiru	nezikiru
nejimawasu	nezimawasu
nejireru	nezireru
nejiri	neziri
nejiru	neziru
nekasu	
nekirimushi	nekirimusi
neko	
nemoto	
nemui	
nemunoki	
nemuru	
nen	
nengoro	
nerai	
nerau	
neri	
neru	
neta	
netamu	
netsu	netu
neya	
nezu	
nezumi	
nezumimochi	nezumimoti
nezumiotoshi	nezumiotosi
ni	
nibe	
nibu	
nibui	
niburu	
nichi	niti
nie	
nieru	
nigai	
nigana	
nigaru	
nigasu	
nigekamu	
nigeru	
nigiri	
nigiru	
nigiwai	
nigiwasu	
nigiwau	
nigiyaka	
nigoi	
nigorizake	
nigoru	
nigosu	
nigura	
niguruma	
nii	
niiniizemi	
niji	nizi
nijimu	nizimu
nijiru	niziru
nijuu	nizyuu
nikawa	
nikibi	
niku	
nikui	
nikumu	
nikurashii	nikurasii
nikushimi	nikusimi
nin	
nina	
ninai	
ninau	
ninjin	ninzin
ninniku	
nio	
nioi	
nioibukuro	
niou	
niowaseru	
nira	
niragu	
nirami	
niramu	
nire	
niregamu	
niru	
nise	
nisemono	
nishi	nisi
nishidochi	nishidoti,nisidochi
nishiki	nisiki
nishikihebi	nisikihebi
nishin	nisin
niwa	
niwaka	
niwakaame	
niwakani	
niwatazumi	
niwatori	
niwaume	
niwayanagi	
niwazakura	
niyasu	
no	
nobasu	
nobe	
noberu	
nobi	
nobiru	
nobori	
noboru	
noboseru	
nobosu	
nobu	
nochi	noti
nodo	
nogan	
nogareru	
nogasu	
noge	
nogeitou	
nogeshi	nogesi
nogi	
nogome	
nokeru	
noki	
noko	
nokogiri	
nokogirinooto	
nokori	
nokoru	
nokosu	
noku	
nomi	
nomihosu	
nominosaki	
nomu	
non	
nonoshiru	nonosiru
nori	
noro	
noroi	
noroshi	norosi
norou	
noru	
noseru	
noshi	nosi
nosu	
notamau	
notamawaku	
notto	
nottoru	
nou	
nouzuru	
nozoku	
nozomu	
nu	
nude	
nue	
nugeru	
nugu	
nuguu	
nuikagari	
nuime	
nuitori	
nuka	
nukamiso	
nukaru	
nukarumi	
nukasu	
nukazuku	
nukegara	
nukeru	
nuki	
nukinderu	
nuku	
numa	
nume	
nunawa	
nuno	
nunoito	
nunoko	
nurasu	
nureru	
nuri	
nuru	
nurumayu	
nusa	
nushi	nusi
nusumi	
nusumimiru	
nusumu	
nuta	
nuu	
nya	
nyaku	
nyo	
nyoku	
nyou	
nyu	
nyuu	
o	
oba	
obashima	obasima
obi	
obidama	
obidome	
obieru	
obiru	
obitadashii	obitadasii
obiyakasu	
oboeru	
oboreru	
oboro	
obosu	
ochi	oti
ochiba	otiba
ochiiru	otiiru
ochikomuoto	otikomuoto
ochiru	otiru
ochitsuku	ochituku,otitsuku
odateru	
odayaka	
oderu	
odokasu	
odorokasu	
odoroku	
odoru	
odoshi	odosi
odosu	
oeru	
ogamu	
ogawa	
ogi	
oginau	
ogori	
ogoru	
ogosoka	
ohitsuji	ohitsuzi,ohituji
oi	
oiboreru	
oiru	
oite	
oitsuku	oituku
ojika	ozika
ojiru	oziru
oka	
okasu	
okawa	
oke	
okera	
okeru	
oki	
okina	
okiru	
okite	
okitsu	okitu
okitsuchi	okitsuti,okituchi
okonau	
okori	
okoru	
okoshi	okosi
okosu	
okotaru	
okoze	
oku	
okubi	
okubukai	
okufukai	okuhukai
okugaki	
okumaru	
okumi	
okurasu	
okureru	
okuribito	
okurime	
okurimono	
okurina	
okuru	
okusuru	
okute	
omaru	
omo	
omodaka	
omoeraku	
omogai	
omoi	
omokage	
omomuki	
omomuku	
omomuro	
omomuroni	
omonau	
omonerikumisuru	
omoneru	
omonmiru	
omonpakaru	
omonpakuru	
omori	
omote	
omou	
omouni	
on	
onagazaru	
onaji	onazi
onamomi	
oni	
onigashira	onigasira
onihirugusa	
oniyarai	
onna	
onnanoazana	
ono	
ononoku	
onoono	
onore	
onozukara	
onozuto	
oo	
ooari	
oobako	
ooban	
oobone	
oobora	
oochi	ooti
oodate	
oogai	
oogama	
oogame	
oogane	
oogari	
oogo	
oogoe	
oogoto	
oohige	
ooi	
ooini	
ooji	oozi
oojika	oozika
ookama	
ookami	
ookii	
ookinakao	
ookuchi	ookuti
ookumonoiu	
oomizu	
oomune	
oonami	
oonira	
oonome	
oonomi	
oose	
ooshi	oosi
ooshika	oosika
oosuki	
ootade	
ootori	
ootsuzumi	ootuzumi
oou	
oowa	
ooyake	
ooyamadori	
ooyoso	
ooyumi	
oozaru	
oozuna	
oozutsu	oozutu
ore	
oreru	
ori	
oriamari	
oriru	
orochi	oroti
orogamu	
oroka	
oroshi	orosi
orosu	
oru	
osa	
osae	
osaeru	
osamaru	
osameru	
osanai	
oshaberi	osyaberi
oshi	osi
oshidori	osidori
oshie	osie
oshieru	osieru
oshii	osii
oshikiuo	osikiuo
oshimu	osimu
osoi	
osore	
osoreawateru	
osoreru	
osoroshii	osorosii
osoru	
osou	
osowareru	
osowaru	
ossharu	
osu	
osumiumu	
osunoinoko	
osuuma	
oto	
otogai	
otoko	
otokodate	
otokogi	
otokoyomogi	
otome	
otori	
otoroeru	
otoru	
otoshiana	otosiana
otoshiireru	otosiireru
otoshimeru	otosimeru
otosu	
otouto	
otozureru	
otsu	otu
otsukurisuru	otukurisuru
otto	
ou	
ouchi	outi
ouchou	outyou
ougi	
ougo	
ouna	
oushi	ousi
ouu	
ouyoso	
owari	
owaru	
owasu	
oya	
oyaimo	
oyaji	oyazi
oyayubi	
oyobi	
oyobosu	
oyobu	
oyogu	
oyoso	
ozumi	
pai	
peeji	peezi
pon	
pondo	
poroniumu	
ppanashi	ppanasi
purachina	puratina
ra	
raba	
rachi	rati
rachigaaku	ratigaaku
rai	
rajiumu	raziumu
rakkiyou	
rakkyou	
raku	
ran	
rantan	
rassuru	
ratsu	ratu
re	
rechi	reti
refu	rehu
rei	
reki	
rekki	
ren	
rengetsutsuji	rengetsutsuzi,rengetutuji
renji	renzi
retsu	retu
ri	
richi	riti
richiumu	ritiumu
rii	
riki	
riku	
rin	
ritsu	ritu
rittoru	
ro	
rochi	roti
rojiumu	roziumu
roku	
rokuna	
rokuro	
ron	
roo	
rotsu	rotu
rou	
rourou	
rousoku	
rousuru	
ru	
rui	
ruteniumu	
rutsubo	rutubo
ruuburu	
ryaku	
ryo	
ryoku	
ryou	
ryu	
ryuku	
ryuu	
sa	
saba	
sabakeru	
sabaku	
sabi	
sabireru	
sabishii	sabisii
sabu	
sachi	sati
sada	
sadaka	
sadamaru	
sadameru	
saegiritodomeru	
saegiru	
saeru	
saezuru	
saga	
sagare	
sagaru	
sagasu	
sageru	
sagesumu	
sagi	
saguru	
sai	
sainamu	
saiwai	
saji	sazi
saka	
sakabari	
sakadaru	
sakaeru	
sakai	
sakaki	
sakamichi	sakamiti
sakamori	
sakan	
sakana	
sakananoko	
sakanoboru	
sakarau	
sakaru	
sakasa	
sakasama	
sakashii	sakasii
sakashima	sakasima
sakatsubo	sakatubo
sakazuki	
sake	
sakebata	
sakebu	
sakeire	
sakekoshi	sakekosi
sakeme	
sakenomoto	
sakenotsukasa	sakenotukasa
sakeru	
sakesakana	
saketsubo	saketubo
saki	
sakibarai	
sakigake	
sakini	
sakitoru	
sako	
saku	
sakura	
sama	
samasu	
samatagerareru	
samatageru	
samayou	
same	
sameru	
samishii	samisii
samui	
samurai	
san	
sanada	
sanagi	
sanchi	santi
sane	
sanjuu	sanzyuu
sanransuru	
sanshouuo	sansyouuo
santaru	
sanzui	
sao	
saosasu	
sara	
saraeru	
sarake	
sarani	
sarashi	sarasi
sarasu	
sarau	
saru	
sasa	
sasaerareru	
sasaeru	
sasage	
sasageru	
sasara	
sasaru	
sasayaki	
sasayaku	
sashi	sasi
sashigane	sasigane
sashihasamu	sasihasamu
sashikomu	sasikomu
sashimaneku	sasimaneku
sashitomeru	sasitomeru
sashiwatashi	sasiwatasi
sashizubata	sasizubata
sasori	
sasou	
sasu	
sasuga	
sasumushi	sasumusi
sasuru	
sate	
sato	
satoi	
satoru	
satosu	
satoukibi	
satsu	satu
satsuki	satuki
satto	
sawa	
sawagashii	sawagasii
sawagu	
sawara	
sawaru	
sawasu	
sawayaka	
saya	
sayori	
sazaki	
sazanami	
sazo	
sazokashi	sazokasi
sazoya	
sazukaru	
sazukeru	
se	
sebamaru	
sebameru	
sebone	
sechi	seti
sefu	sehu
segare	
segukumaru	
sei	
seigo	
seirou	
seishu	seisyu
seki	
sekkachi	sekkati
seko	
seku	
semai	
semaru	
semegu	
semeru	
semi	
semuru	
semushi	semusi
sen	
senchi	senti
senchiguramu	sentiguramu
senchimeetoru	sentimeetoru
senchirittoru	sentirittoru
seniku	
senjiru	senziru
senkyuu	
sensuru	
sento	
senzankou	
senzuru	
seou	
seri	
seriumu	
seru	
seseragi	
seseru	
seshiumu	sesiumu
setsu	setu
seu	
seuto	
sewashii	sewasii
sha	sya
shaberu	syaberu
shachi	shati,syachi
shachihoko	shatihoko,syachihoko
shagamu	syagamu
shagareru	syagareru
shake	syake
shakkuri	syakkuri
shaku	syaku
shakuri	syakuri
shamo	syamo
shan	syan
shi	si
shiawase	siawase
shiba	siba
shibaraku	sibaraku
shibaru	sibaru
shibashiba	sibasiba
shibe	sibe
shibi	sibi
shibireru	sibireru
shibo	sibo
shibomu	sibomu
shibori	sibori
shiboriki	siboriki
shiboru	siboru
shibu	sibu
shibui	sibui
shibuki	sibuki
shiburu	siburu
shichi	shiti,sichi
shide	side
shigarami	sigarami
shigaramu	sigaramu
shigeku	sigeku
shigeru	sigeru
shigeshi	sigesi
shigi	sigi
shiguma	siguma
shii	sii
shiina	siina
shiira	siira
shiiru	siiru
shiisuru	siisuru
shiitageru	siitageru
shiji	shizi,siji
shijimi	shizimi,sijimi
shijuu	shizyuu,sijuu
shika	sika
shikabane	sikabane
shikameru	sikameru
shikamo	sikamo
shikaredomo	sikaredomo
shikari	sikari
shikaru	sikaru
shikaruni	sikaruni
shikashi	sikasi
shikashite	sikasite
shikato	sikato
shiki	siki
shikigawara	sikigawara
shikii	sikii
shikimi	sikimi
shikirini	sikirini
shikiwara	sikiwara
shiko	siko
shikori	sikori
shikoro	sikoro
shikoushite	sikousite
shiku	siku
shima	sima
shimaikomu	simaikomu
shimari	simari
shimaru	simaru
shime	sime
shimeri	simeri
shimeru	simeru
shimesu	simesu
shimi	simi
shimikomu	simikomu
shimiru	simiru
shimo	simo
shimobe	simobe
shimogasa	simogasa
shimoto	simoto
shimoyake	simoyake
shimoyashiki	simoyasiki
shimu	simu
shin	sin
shina	sina
shinabiru	sinabiru
shinau	sinau
shinayaka	sinayaka
shinbashira	sinbasira
shini	sini
shinnyou	sinnyou
shino	sino
shinobaseru	sinobaseru
shinobigoto	sinobigoto
shinobu	sinobu
shinogi	sinogi
shinogu	sinogu
shinsha	shinsya,sinsha
shinshi	sinsi
shinu	sinu
shio	sio
shiochi	shioti,siochi
shiokara	siokara
shiokarai	siokarai
shioke	sioke
shioreru	sioreru
shiori	siori
shioru	sioru
shiozuke	siozuke
shira	sira
shirabe	sirabe
shiraberu	siraberu
shirageru	sirageru
shirageyone	sirageyone
shirakage	sirakage
shirakiji	shirakizi,sirakiji
shirami	sirami
shirasagi	sirasagi
shirase	sirase
shiraseru	siraseru
shireru	sireru
shiri	siri
shirigai	sirigai
shiringu	siringu
shirizokeru	sirizokeru
shirizoku	sirizoku
shiro	siro
shiroari	siroari
shirogane	sirogane
shiroginu	siroginu
shiroi	siroi
shiroko	siroko
shirome	sirome
shirotsuchi	shirotsuti,shirotuchi,sirotsuchi
shirouo	sirouo
shiroyomogi	siroyomogi
shiru	siru
shirube	sirube
shirushi	sirusi
shirusu	sirusu
shishi	sisi
shishibishio	sisibisio
shita	sita
shitabakama	sitabakama
shitagaenarasu	sitagaenarasu
shitagaeru	sitagaeru
shitagaki	sitagaki
shitagau	sitagau
shitagi	sitagi
shitagura	sitagura
shitami	sitami
shitashii	sitasii
shitashiku	sitasiku
shitashimu	sitasimu
shitatameru	sitatameru
shitataru	sitataru
shitau	sitau
shite	site
shito	sito
shitogi	sitogi
shitomi	sitomi
shitone	sitone
shitouzu	sitouzu
shitoyaka	sitoyaka
shitsu	shitu,sitsu
shitsuke	shituke,sitsuke
shitsukeru	shitukeru,sitsukeru
shiuto	siuto
shiutome	siutome
shiwa	siwa
shiwabuki	siwabuki
shiwabuku	siwabuku
shiwai	siwai
shizu	sizu
shizuka	sizuka
shizukaniyuku	sizukaniyuku
shizuku	sizuku
shizumaru	sizumaru
shizumeru	sizumeru
shizumu	sizumu
sho	syo
shoku	syoku
shokusuru	syokusuru
shou	syou
shouga	syouga
shoujou	shouzyou,syoujou
shu	syu
shuchi	shuti,syuchi
shuku	syuku
shun	syun
shungiku	syungiku
shunme	syunme
shutsu	shutu,syutsu
shuu	syuu
shuuto	syuuto
shuutome	syuutome
so	
soba	
sobadateru	
sobadatsu	sobadatu
sobame	
sobieru	
sobofuru	sobohuru
sochi	soti
sodachi	sodati
sodateru	
sodatsu	sodatu
sode	
sodekuchi	sodekuti
soe	
soeita	
soeru	
soeuma	
sogi	
sogo	
sogu	
soi	
soko	
sokonau	
sokoneru	
soku	
sokuzu	
soma	
somaru	
someru	
somukeru	
somuku	
son	
