# golden parity table for FUZZY_GW_G: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
aa	
aai	
aak	
aam	
aan	
aang	
aap	
aat	
aau	
ai	
ak	
am	
an	
ang	
ap	
at	
au	
baa	
baai	
baak	
baan	
baang	
baat	
baau	
bai	
bak	
bam	
ban	
bang	
bap	
bat	
bau	
be	
bei	
bek	
beng	
bet	
bi	
bik	
bin	
bing	
bip	
bit	
biu	
bo	
bok	
bong	
bou	
bu	
bui	
buk	
bun	
bung	
but	
caa	
caai	
caak	
caam	
caan	
caang	
caap	
caat	
caau	
cai	
cak	
cam	
can	
cang	
cap	
cat	
cau	
ce	
cek	
ceng	
ceoi	
ceon	
ceot	
cet	
ci	
cik	
cim	
cin	
cing	
cip	
cit	
ciu	
co	
coek	
coeng	
coet	
coi	
cok	
cong	
cop	
cou	
cuk	
cung	
cyu	
cyun	
cyut	
daa	
daai	
daak	
daam	
daan	
daap	
daat	
dai	
dak	
dam	
dan	
dang	
dap	
dat	
dau	
de	
dei	
dek	
deng	
deoi	
deon	
deot	
dep	
det	
deu	
di	
dik	
dim	
din	
ding	
dip	
dit	
diu	
do	
doe	
doek	
doeng	
doi	
dok	
dong	
dou	
duk	
dun	
dung	
dut	
dyun	
dyut	
e	
ei	
ek	
em	
en	
eot	
et	
eu	
faa	
faai	
faak	
faan	
faat	
fai	
fan	
fang	
fat	
fau	
fe	
fei	
fi	
fik	
fing	
fit	
fiu	
fo	
fok	
fong	
fou	
fu	
fui	
fuk	
fun	
fung	
fut	
gaa	
gaai	
gaak	
gaam	
gaan	
gaang	
gaap	
gaat	
gaau	
gai	
gak	
gam	
gan	
gang	
gap	
gat	
gau	
ge	
gei	
geng	
geoi	
gep	
gi	
gik	
gim	
gin	
ging	
gip	
git	
giu	
go	
goe	
goek	
goeng	
goet	
goi	
gok	
gon	
gong	
got	
gou	
gu	
gui	
guk	
gun	
gung	
gut	
gwaa	gaa
gwaai	gaai
gwaak	gaak
gwaan	gaan
gwaang	gaang
gwaat	gaat
gwai	gai
gwak	gak
gwan	gan
gwang	gang
gwat	gat
gwe	ge
gwek	gek
gwi	gi
gwik	gik
gwing	ging
gwit	git
gwo	go
gwok	gok
gwong	gong
gyun	
gyut	
haa	
haai	
haak	
haam	
haan	
haang	
haap	
haat	
haau	
hai	
hak	
ham	
han	
hang	
hap	
hat	
hau	
he	
hei	
hek	
heng	
heoi	
hi	
hik	
him	
hin	
hing	
hip	
hit	
hiu	
hm	
hng	
ho	
hoe	
hoeng	
hoi	
hok	
hon	
hong	
hot	
hou	
huk	
hung	
hyun	
hyut	
i	
ik	
jaa	
jaai	
jaak	
jaam	
jaang	
jaap	
jaau	
jai	
jam	
jan	
jang	
jap	
jat	
jau	
je	
jen	
jeng	
jeoi	
jeon	
ji	
jik	
jim	
jin	
jing	
jip	
jit	
jiu	
jo	
joek	
joeng	
ju	
juk	
jung	
jyu	
jyun	
jyut	
kaa	
kaai	
kaak	
kaan	
kaat	
kaau	
kai	
kak	
kam	
kan	
kang	
kap	
kat	
kau	
ke	
kei	
kek	
kem	
keng	
keoi	
kep	
ket	
keu	
kik	
kim	
kin	
king	
kip	
kit	
kiu	
ko	
koe	
koek	
koeng	
koi	
kok	
kong	
ku	
kui	
kuk	
kung	
kut	
kwaa	kaa
kwaai	kaai
kwaak	kaak
kwaang	kaang
kwaat	kaat
kwai	kai
kwan	kan
kwang	kang
kwik	kik
kwok	kok
kwong	kong
kyun	
kyut	
laa	
laai	
laak	
laam	
laan	
laang	
laap	
laat	
laau	
lai	
lak	
lam	
lan	
lang	
lap	
lat	
lau	
le	
lei	
lek	
lem	
leng	
leoi	
leon	
leot	
leu	
li	
lik	
lim	
lin	
ling	
lip	
lit	
liu	
lo	
loe	
loek	
loeng	
loi	
lok	
long	
lou	
lu	
luk	
lung	
lut	
lyun	
lyut	
m	
maa	
maai	
maak	
maan	
maang	
maat	
maau	
mai	
mak	
mam	
man	
mang	
mat	
mau	
me	
mei	
meng	
meu	
mi	
mik	
min	
ming	
mit	
miu	
mo	
mok	
mon	
mong	
mou	
mu	
mui	
muk	
mun	
mung	
mut	
naa	
naai	
naam	
naan	
naap	
naat	
naau	
nai	
nak	
nam	
nan	
nang	
nap	
nau	
ne	
nei	
neng	
neoi	
neot	
ng	
ngaa	
ngaai	
ngaak	
ngaam	
ngaan	
ngaang	
ngaap	
ngaat	
ngaau	
ngai	
ngak	
ngam	
ngan	
ngang	
ngap	
ngat	
ngau	
nge	
ngek	
nget	
ngi	
ngit	
ngo	
ngoi	
ngok	
ngon	
ngong	
ngou	
ngung	
ni	
nik	
nim	
nin	
ning	
nip	
nit	
niu	
no	
noek	
noeng	
noi	
nok	
nong	
nou	
nu	
nuk	
nung	
nyun	
o	
oek	
oet	
oi	
ok	
on	
ong	
ou	
paa	
paai	
paak	
paan	
paang	
paat	
paau	
pai	
pan	
pang	
pat	
pau	
pe	
pei	
pek	
peng	
pet	
peu	
pi	
pik	
pin	
ping	
pit	
piu	
po	
pok	
pong	
pot	
pou	
pui	
puk	
pun	
