# golden parity table for FUZZY_U_V: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
a	
ai	
an	
ang	
ao	
ba	
bai	
ban	
bang	
bao	
bei	
ben	
beng	
bi	
bian	
biang	
biao	
bie	
bin	
bing	
bo	
bong	
bu	
ca	
cai	
can	
cang	
cao	
ce	
cei	
cen	
ceng	
cha	
chai	
chan	
chang	
chao	
che	
chen	
cheng	
chi	
chong	
chou	
chu	
chua	
chuai	
chuan	
chuang	
chui	
chun	
chuo	
ci	
cong	
cou	
cu	
cuan	
cui	
cun	
cuo	
da	
dai	
dan	
dang	
dao	
de	
dei	
den	
deng	
di	
dia	
dian	
diao	
die	
din	
ding	
diu	
dong	
dou	
du	
duan	
dui	
dun	
duo	
e	
ei	
en	
eng	
er	
fa	
fan	
fang	
fei	
fen	
feng	
fiao	
fo	
fou	
fu	
ga	
gai	
gan	
gang	
gao	
ge	
gei	
gen	
geng	
gong	
gou	
gu	
gua	
guai	
guan	
guang	
gui	
gun	
guo	
ha	
hai	
han	
hang	
hao	
he	
hei	
hen	
heng	
hm	
hng	
hong	
hou	
hu	
hua	
huai	
huan	
huang	
hui	
hun	
huo	
ji	
jia	
jian	
jiang	
jiao	
jie	
jin	
jing	
jiong	
jiu	jiv
ju	jv
juan	jvan
jue	jve
jun	jvn
ka	
kai	
kan	
kang	
kao	
ke	
kei	
ken	
keng	
kong	
kou	
ku	
kua	
kuai	
kuan	
kuang	
kui	
kun	
kuo	
la	
lai	
lan	
lang	
lao	
le	
lei	
len	
leng	
li	
lia	
lian	
liang	
liao	
lie	
lin	
ling	
liu	liv
lo	
long	
lou	lov
lu	lv
luan	lvan
lun	lvn
luo	lvo
lv	lu
lve	lue
ma	
mai	
man	
mang	
mao	
me	
mei	
men	
meng	
mi	
mian	
miao	
mie	
min	
ming	
miu	
mo	
mou	
mu	
m̀	
m̄	
n	
na	
nai	
nan	
nang	
nao	
ne	
nei	
nen	
neng	
ng	
ni	
nia	
nian	
niang	
niao	
nie	
nin	
ning	
niu	niv
nong	
nou	nov
nu	nv
nuan	nvan
nun	nvn
nuo	nvo
nv	nu
nve	nue
o	
ou	
pa	
pai	
pan	
pang	
pao	
pei	
pen	
peng	
pi	
pian	
piao	
pie	
pin	
ping	
po	
pou	
pu	
qi	
qia	
qian	
qiang	
qiao	
qie	
qin	
qing	
qiong	
qiu	qiv
qu	qv
quan	qvan
que	qve
qun	qvn
ran	
rang	
rao	
re	
ren	
reng	
ri	
rong	
rou	
ru	
rua	
ruan	
rui	
run	
ruo	
sa	
sai	
san	
sang	
sao	
se	
sen	
seng	
sha	
shai	
shan	
shang	
shao	
she	
shei	
shen	
sheng	
shi	
shou	
shu	
shua	
shuai	
shuan	
shuang	
shui	
shun	
shuo	
si	
song	
sou	
su	
suan	
sui	
sun	
suo	
ta	
tai	
tan	
tang	
tao	
te	
tei	
teng	
ti	
tian	
tiao	
tie	
ting	
tong	
tou	
tu	
tuan	
tui	
tun	
tuo	
wa	
wai	
wan	
wang	
wei	
wen	
weng	
wo	
wong	
wu	
xi	
xia	
xian	
xiang	
xiao	
xie	
xin	
xing	
xiong	
xiu	xiv
xu	xv
xuan	xvan
xue	xve
xun	xvn
ya	
yan	
yang	
yao	
ye	
yi	
yin	
ying	
yo	
yong	
you	yov
yu	yv
yuan	yvan
yue	yve
yun	yvn
za	
zai	
zan	
zang	
zao	
ze	
zei	
zen	
zeng	
zha	
zhai	
zhan	
zhang	
zhao	
zhe	
zhei	
zhen	
zheng	
zhi	
zhong	
zhou	
zhu	
zhua	
zhuai	
zhuan	
zhuang	
zhui	
zhun	
zhuo	
zi	
zong	
zou	
zu	
zuan	
zui	
zun	
zuo	
ê̄	
ê̌	
ń	
ńg	
ň	
ňg	
ǹ	
ǹg	
ḿ	
ế	
ề	
