# golden parity table for FUZZY_LONG_VOWEL: surface -> variants (oracle: fuzzy.py)
# one line per real surface; variants is a sorted comma-list (may be empty)
# surface	variants
kushiro	
kuso	
kusu	
kusuberu	
kusuburu	
kusuguru	
kusunoki	
kusuri	
kusushi	
kutabireru	
kute	
kutsu	
kutsubami	
kutsugaeru	
kutsugaesu	
kutsukazari	
kutsurogu	
kutsushiki	
kutsushita	
kutsuwa	
kuu	ku
kuwa	
kuwadateru	
kuwaeru	
kuwai	
kuwanomi	
kuwashii	
kuwawaru	
kuyamu	
kuyashii	
kuyurasu	
kuzu	
kuzununo	
kuzure	
kuzurekakaru	
kuzureru	
kuzusu	
kya	
kyaku	
kyan	
kyo	
kyoku	
kyou	kyo
kyuku	
kyuu	kyu
ma	
maa	
mabara	
mabayui	
maboroshi	
mabuchi	
mabushi	
mabushii	
mabuta	
machi	
mada	
madaharanuho	
madara	
madarauma	
madaraushi	
made	
mado	
madoka	
madou	mado
madowasu	
mae	
maedare	
maekake	
maga	
magai	
magaki	
magariba	
magaru	
mage	
mageashi	
magemono	
mageru	
magete	
magirasu	
magirawashii	
magirawasu	
magire	
magireru	
mago	
magokoro	
maguneshiumu	
maguro	
magusa	
magusagura	
magusakau	
mahiru	
mai	
mainai	
mainau	
mairu	
maji	
majieru	
majikoru	
majinai	
majinau	
majiri	
majiriau	
majirogu	
majiru	
majiwaru	
makanau	
makari	
makaseru	
makasu	
makeru	
maki	
makiba	
makigamae	
makigane	
makihada	
makomo	
makoto	
makotoni	
maku	
makura	
makureru	
makuru	
mama	
mame	
mamegara	
mamejiru	
mami	
mamidanuki	
mamieru	
mamireru	
mamori	
mamoru	
mamushi	
man	
mana	
manabiya	
manabu	
managatsuo	
manaita	
manajiri	
manako	
manazuru	
maneku	
mangan	
manimani	
manji	
manugareru	
manukareru	
mare	
mari	
maro	
marobu	
maroudo	marodo
maroyaka	
maru	
marui	
maruki	
marukibashi	
marumeru	
maruyaki	
masa	
masakari	
masaki	
masame	
masani	
masanibeshi	
masaru	
mashi	
mashimasu	
mashite	
massugu	
massugudetakai	
masu	
masugata	
masuru	
mata	
matagaru	
matagu	
matagura	
matano	
matataku	
mate	
mato	
matoi	
matomaru	
matomeru	
matou	mato
matsu	
matsuge	
matsuri	
matsurigoto	
matsuru	
matsuwaru	
matsuyani	
mattaku	
mattashi	
mau	
mawari	
mawaru	
mawashi	
mawasu	
mayou	mayo
mayu	
mayumi	
mayuzumi	
mazaru	
mazeru	
mazu	
mazushii	
me	
meawaseru	
mebae	
mebaeru	
mebaru	
mechi	
mederu	
medetaikumo	
medogi	
meetoru	
megawara	
megumi	
megumu	
megurasu	
meguri	
meguriyuku	
meguru	
mehajiki	
mehitsuji	
mei	
meisuru	
meitadaki	
mejika	
mejiri	
mejirushinonuno	
mekake	
mekata	
mekki	
mekura	
mekuru	
mekuwaseru	
mekuwasu	
memai	
men	
meoto	
meshi	
meshii	
mesu	
metoru	
metsu	
meu	
mezaru	
mezurashii	
mi	
miageru	
michi	
michibiku	
michiru	
mida	
midara	
midare	
midareru	
midari	
midarigamashii	
midarini	
midaru	
midasu	
midori	
midorigo	
mienu	
mieru	
migaku	
migarui	
migi	
migiri	
migiwa	
migoi	
migomoru	
migoro	
mihari	
miharu	
mijikai	
mijime	
mika	
mikado	
miki	
miko	
mikotonori	
mikuri	
mimakaru	
mimashi	
mimawasu	
mimeyoi	
mimi	
mimidama	
mimidare	
mimikazari	
mimikiri	
mimikiru	
mimikuso	
miminagusa	
miminari	
mimishii	
mimizatoi	
mimizu	
mimizuku	
min	
mina	
minagiru	
minagoroshi	
minami	
minamoto	
minashigo	
minato	
mine	
minikui	
minikuisugata	
minna	
mino	
minori	
minoru	
minowata	
mio	
miri	
miriguramu	
mirimeetoru	
miririttoru	
miru	
misago	
misaki	
misao	
misasagi	
mise	
miseru	
miso	
misogi	
misoka	
misonawasu	
mitamaya	
mitasu	
mitomeru	
mitsu	
mitsugu	
mitsumeru	
mitsurou	mitsuro
mitsuru	
mittsu	
miuchi	
miya	
miyabi	
miyabiyaka	
miyako	
miyakogae	
miyouga	miyoga
mizo	
mizogoisagi	
mizore	
mizu	
mizuai	
mizuchi	
mizugane	
mizugiwa	
mizukaki	
mizukara	
mizumori	
mizunoe	
mizunoto	
mizura	
mizutade	
mizuumi	mizumi
mo	
mochi	
mochiasobu	
mochiawa	
mochigome	
mochii	
mochiiru	
mochinoki	
mochizao	
mochizuki	
modaeru	
modasu	
modoki	
modoru	
modosu	
moeagaru	
moenokori	
moeru	
moesashi	
mofuku	
mogaku	
mogasa	
mogiru	
mogu	
mogubuku	
mogura	
moguramochi	
moguru	
mogusa	
moji	
mojiri	
mojiru	
mokko	
moku	
mokume	
mokusei	
mokusuru	
momennonuno	
momeru	
momi	
momigara	
momiji	
momo	
momu	
mon	
monban	
monme	
mono	
monoimi	
monomi	
monosashi	
monoui	monoi
monukeru	
moppara	
morasu	
morau	
moreru	
mori	
moro	
moroi	
moromi	
moromoro	
moru	
moshi	
moshikuha	
moshikuwa	
mosu	
mosuso	
motageru	
motai	
motarasu	
motareru	
mote	
moteasobu	
motenasu	
moteru	
moto	
motodori	
motoi	
motomeru	
motooru	motoru
motoru	
motouru	motoru
motoyori	
motoyui	
motsu	
motsureru	
motte	
mottomo	
mou	mo
mouderu	moderu
moukaru	mokaru
mouke	moke
moukeru	mokeru
mousen	mosen
moushi	moshi
mousu	mosu
moya	
moyaibune	
moyasu	
moyau	
moyoosu	moyosu
moyousu	moyosu
mozu	
mu	
muchi	
muchiutsu	
mugi	
mugigayu	
mugiko	
mugikogashi	
mugoi	
mugura	
mui	
mujina	
mukabaki	
mukaeru	
mukai	
mukaiau	
mukashi	
mukatsuku	
mukau	
muke	
mukeru	
muki	
muko	
mukou	muko
muku	
mukuge	
mukuinu	
mukuiru	
mukuro	
muna	
munagai	
munagi	
munashii	
mune	
mura	
muragaru	
murasaki	
murasu	
mure	
mureiru	
mureru	
muro	
muroa	
muroaji	
musaborioshimu	
musaboru	
musasabi	
musebu	
museru	
mushi	
mushiatsui	
mushiba	
mushibamu	
mushimeshi	
mushiritoru	
mushiro	
mushiru	
musouami	musoami
musu	
musubu	
musume	
musumemuko	
mutsu	
mutsubu	
mutsukashii	
mutsuki	
mutsumajii	
mutsumu	
mutsuyubi	
muttsu	
muzukashii	
myaku	
myou	myo
myouto	myoto
myuku	
myuu	myu
na	
nabe	
nabezumi	
nabiku	
naburu	
nachi	
nada	
nadameru	
naderu	
nado	
nae	
naeru	
nagaame	
nagae	
nagai	
nagaihari	
nagajuban	
nagame	
nagameru	
nagara	
nagaraeru	
nagare	
nagareru	
nagasa	
nagashi	
nagashime	
nagasu	
nage	
nagekawashii	
nageki	
nageku	
nageru	
nageutsu	
nagi	
nagisa	
nagomu	
nagoyaka	
nagu	
naguru	
nagusameru	
nagusamu	
nai	
naigashiro	
najimu	
naka	
nakaba	
nakagai	
nakama	
nakare	
naki	
nakigoe	
nakihaha	
nakoudo	nakodo
naku	
nama	
namagane	
namagusa	
namagusai	
namajii	
namakeru	
namakura	
namamekashii	
namameku	
namari	
namaru	
namasu	
namazu	
nameraka	
nameru	
nameshigawa	
namesu	
nametoru	
nami	
namida	
namisuru	
namuchi	
nan	
nana	
naname	
nanameniyuku	
nanatsu	
nani	
nanigashi	
nanji	
nannantosu	
nano	
nanzo	
nao	
naoi	
naoki	
naoru	
naosu	
nara	
naraberu	
narabini	
narabitatsu	
narabu	
narai	
naranoki	
narasu	
narau	
nare	
nareru	
nareshika	
nari	
naru	
naruhajikami	
nasake	
nase	
nashi	
nasu	
nata	
natsu	
natsukashii	
natsukashimu	
natsukeru	
natsuku	
natsume	
natsuzemi	
nau	
nawa	
nawate	
nayamashii	
nayamasu	
nayami	
nayamu	
nayoyakana	
nazo	
nazoraeru	
nazukeru	
nazumu	
nazuna	
ne	
nebari	
nebaritsuku	
nebaru	
nebatsuchi	
neburu	
nechi	
neesan	
negai	
negau	
negi	
negira	
negirai	
negirau	
negoto	
negura	
neguruma	
nei	
neiki	
neiru	
nejikeru	
nejikiru	
nejimawasu	
nejireru	
nejiri	
nejiru	
nekasu	
nekirimushi	
neko	
nemoto	
nemui	
nemunoki	
nemuru	
nen	
nengoro	
nerai	
nerau	
neri	
neru	
neta	
netamu	
netsu	
neya	
nezu	
nezumi	
nezumimochi	
nezumiotoshi	
ni	
nibe	
nibu	
nibui	
niburu	
nichi	
nie	
nieru	
nigai	
nigana	
nigaru	
nigasu	
nigekamu	
nigeru	
nigiri	
nigiru	
nigiwai	
nigiwasu	
nigiwau	
nigiyaka	
nigoi	
nigorizake	
nigoru	
nigosu	
nigura	
niguruma	
nii	
niiniizemi	
niji	
nijimu	
nijiru	
nijuu	niju
nikawa	
nikibi	
niku	
nikui	
nikumu	
nikurashii	
nikushimi	
nin	
nina	
ninai	
ninau	
ninjin	
ninniku	
nio	
nioi	
nioibukuro	
niou	nio
niowaseru	
nira	
niragu	
nirami	
niramu	
nire	
niregamu	
niru	
nise	
nisemono	
nishi	
nishidochi	
nishiki	
nishikihebi	
nishin	
niwa	
niwaka	
niwakaame	
niwakani	
niwatazumi	
niwatori	
niwaume	
niwayanagi	
niwazakura	
niyasu	
no	
nobasu	
nobe	
noberu	
nobi	
nobiru	
nobori	
noboru	
noboseru	
nobosu	
nobu	
nochi	
nodo	
nogan	
nogareru	
nogasu	
noge	
nogeitou	nogeito
nogeshi	
nogi	
nogome	
nokeru	
noki	
noko	
nokogiri	
nokogirinooto	nokogirinoto
nokori	
nokoru	
nokosu	
noku	
nomi	
nomihosu	
nominosaki	
nomu	
non	
nonoshiru	
nori	
noro	
noroi	
noroshi	
norou	noro
noru	
noseru	
noshi	
nosu	
notamau	
notamawaku	
notto	
nottoru	
nou	no
nouzuru	nozuru
nozoku	
nozomu	
nu	
nude	
nue	
nugeru	
nugu	
nuguu	nugu
nuikagari	
nuime	
nuitori	
nuka	
nukamiso	
nukaru	
nukarumi	
nukasu	
nukazuku	
nukegara	
nukeru	
nuki	
nukinderu	
nuku	
numa	
nume	
nunawa	
nuno	
nunoito	
nunoko	
nurasu	
nureru	
nuri	
nuru	
nurumayu	
nusa	
nushi	
nusumi	
nusumimiru	
nusumu	
nuta	
nuu	nu
nya	
nyaku	
nyo	
nyoku	
nyou	nyo
nyu	
nyuu	nyu
o	
oba	
obashima	
obi	
obidama	
obidome	
obieru	
obiru	
obitadashii	
obiyakasu	
oboeru	
oboreru	
oboro	
obosu	
ochi	
ochiba	
ochiiru	
ochikomuoto	
ochiru	
ochitsuku	
odateru	
odayaka	
oderu	
odokasu	
odorokasu	
odoroku	
odoru	
odoshi	
odosu	
oeru	
ogamu	
ogawa	
ogi	
oginau	
ogori	
ogoru	
ogosoka	
ohitsuji	
oi	
oiboreru	
oiru	
oite	
oitsuku	
ojika	
ojiru	
oka	
okasu	
okawa	
oke	
okera	
okeru	
oki	
okina	
okiru	
okite	
okitsu	
okitsuchi	
okonau	
okori	
okoru	
okoshi	
okosu	
okotaru	
okoze	
oku	
okubi	
okubukai	
okufukai	
okugaki	
okumaru	
okumi	
okurasu	
okureru	
okuribito	
okurime	
okurimono	
okurina	
okuru	
okusuru	
okute	
omaru	
omo	
omodaka	
omoeraku	
omogai	
omoi	
omokage	
omomuki	
omomuku	
omomuro	
omomuroni	
omonau	
omonerikumisuru	
omoneru	
omonmiru	
omonpakaru	
omonpakuru	
omori	
omote	
omou	omo
omouni	omoni
on	
onagazaru	
onaji	
onamomi	
oni	
onigashira	
onihirugusa	
oniyarai	
onna	
onnanoazana	
ono	
ononoku	
onoono	onono
onore	
onozukara	
onozuto	
oo	o
ooari	oari
oobako	obako
ooban	oban
oobone	obone
oobora	obora
oochi	ochi
oodate	odate
oogai	ogai
oogama	ogama
oogame	ogame
oogane	ogane
oogari	ogari
oogo	ogo
oogoe	ogoe
oogoto	ogoto
oohige	ohige
ooi	oi
ooini	oini
ooji	oji
oojika	ojika
ookama	okama
ookami	okami
ookii	okii
ookinakao	okinakao
ookuchi	okuchi
ookumonoiu	okumonoiu
oomizu	omizu
oomune	omune
oonami	onami
oonira	onira
oonome	onome
oonomi	onomi
oose	ose
ooshi	oshi
ooshika	oshika
oosuki	osuki
ootade	otade
ootori	otori
ootsuzumi	otsuzumi
oou	oo,ou
oowa	owa
ooyake	oyake
ooyamadori	oyamadori
ooyoso	oyoso
ooyumi	oyumi
oozaru	ozaru
oozuna	ozuna
oozutsu	ozutsu
ore	
oreru	
ori	
oriamari	
oriru	
orochi	
orogamu	
oroka	
oroshi	
orosu	
oru	
osa	
osae	
osaeru	
osamaru	
osameru	
osanai	
oshaberi	
oshi	
oshidori	
oshie	
oshieru	
oshii	
oshikiuo	
oshimu	
osoi	
osore	
osoreawateru	
osoreru	
osoroshii	
osoru	
osou	oso
osowareru	
osowaru	
ossharu	
osu	
osumiumu	
osunoinoko	
osuuma	osuma
oto	
otogai	
otoko	
otokodate	
otokogi	
otokoyomogi	
otome	
otori	
otoroeru	
otoru	
otoshiana	
otoshiireru	
otoshimeru	
otosu	
otouto	ototo
otozureru	
otsu	
otsukurisuru	
otto	
ou	o
ouchi	ochi
ouchou	ocho
ougi	ogi
ougo	ogo
ouna	ona
oushi	oshi
ouu	ou
ouyoso	oyoso
owari	
owaru	
owasu	
oya	
oyaimo	
oyaji	
oyayubi	
oyobi	
oyobosu	
oyobu	
oyogu	
oyoso	
ozumi	
pai	
peeji	
pon	
pondo	
poroniumu	
ppanashi	
purachina	
ra	
raba	
rachi	
rachigaaku	
rai	
rajiumu	
rakkiyou	rakkiyo
rakkyou	rakkyo
raku	
ran	
rantan	
rassuru	
ratsu	
re	
rechi	
refu	
rei	
reki	
rekki	
ren	
rengetsutsuji	
renji	
retsu	
ri	
richi	
richiumu	
rii	
riki	
riku	
rin	
ritsu	
rittoru	
ro	
rochi	
rojiumu	
roku	
rokuna	
rokuro	
ron	
roo	ro
rotsu	
rou	ro
rourou	roro
rousoku	rosoku
rousuru	rosuru
ru	
rui	
ruteniumu	
rutsubo	
ruuburu	ruburu
ryaku	
ryo	
ryoku	
ryou	ryo
ryu	
ryuku	
ryuu	ryu
sa	
saba	
sabakeru	
sabaku	
sabi	
sabireru	
sabishii	
sabu	
sachi	
sada	
sadaka	
sadamaru	
sadameru	
saegiritodomeru	
saegiru	
saeru	
saezuru	
saga	
sagare	
sagaru	
sagasu	
sageru	
sagesumu	
sagi	
saguru	
sai	
sainamu	
saiwai	
saji	
saka	
sakabari	
sakadaru	
sakaeru	
sakai	
sakaki	
sakamichi	
sakamori	
sakan	
sakana	
sakananoko	
sakanoboru	
sakarau	
sakaru	
sakasa	
sakasama	
sakashii	
sakashima	
sakatsubo	
sakazuki	
sake	
sakebata	
sakebu	
sakeire	
sakekoshi	
sakeme	
sakenomoto	
sakenotsukasa	
sakeru	
sakesakana	
saketsubo	
saki	
sakibarai	
sakigake	
sakini	
sakitoru	
sako	
saku	
sakura	
sama	
samasu	
samatagerareru	
samatageru	
samayou	samayo
same	
sameru	
samishii	
samui	
samurai	
san	
sanada	
sanagi	
sanchi	
sane	
sanjuu	sanju
sanransuru	
sanshouuo	sanshouo
santaru	
sanzui	
sao	
saosasu	
sara	
saraeru	
sarake	
sarani	
sarashi	
sarasu	
sarau	
saru	
sasa	
sasaerareru	
sasaeru	
sasage	
sasageru	
sasara	
sasaru	
sasayaki	
sasayaku	
sashi	
sashigane	
sashihasamu	
sashikomu	
sashimaneku	
sashitomeru	
sashiwatashi	
sashizubata	
sasori	
sasou	saso
sasu	
sasuga	
sasumushi	
sasuru	
sate	
sato	
satoi	
satoru	
satosu	
satoukibi	satokibi
satsu	
satsuki	
satto	
sawa	
sawagashii	
sawagu	
sawara	
sawaru	
sawasu	
sawayaka	
saya	
sayori	
sazaki	
sazanami	
sazo	
sazokashi	
sazoya	
sazukaru	
sazukeru	
se	
sebamaru	
sebameru	
sebone	
sechi	
sefu	
segare	
segukumaru	
sei	
seigo	
seirou	seiro
seishu	
seki	
sekkachi	
seko	
seku	
semai	
semaru	
semegu	
semeru	
semi	
semuru	
semushi	
sen	
senchi	
senchiguramu	
senchimeetoru	
senchirittoru	
seniku	
senjiru	
senkyuu	senkyu
sensuru	
sento	
senzankou	senzanko
senzuru	
seou	seo
seri	
seriumu	
seru	
seseragi	
seseru	
seshiumu	
setsu	
seu	
seuto	
sewashii	
sha	
shaberu	
shachi	
shachihoko	
shagamu	
shagareru	
shake	
shakkuri	
shaku	
shakuri	
shamo	
shan	
shi	
shiawase	
shiba	
shibaraku	
shibaru	
shibashiba	
shibe	
shibi	
shibireru	
shibo	
shibomu	
shibori	
shiboriki	
shiboru	
shibu	
shibui	
shibuki	
shiburu	
shichi	
shide	
shigarami	
shigaramu	
shigeku	
shigeru	
shigeshi	
shigi	
shiguma	
shii	
shiina	
shiira	
shiiru	
shiisuru	
shiitageru	
shiji	
shijimi	
shijuu	shiju
shika	
shikabane	
shikameru	
shikamo	
shikaredomo	
shikari	
shikaru	
shikaruni	
shikashi	
shikashite	
shikato	
shiki	
shikigawara	
shikii	
shikimi	
shikirini	
shikiwara	
shiko	
shikori	
shikoro	
shikoushite	shikoshite
shiku	
shima	
shimaikomu	
shimari	
shimaru	
shime	
shimeri	
shimeru	
shimesu	
shimi	
shimikomu	
shimiru	
shimo	
shimobe	
shimogasa	
shimoto	
shimoyake	
shimoyashiki	
shimu	
shin	
shina	
shinabiru	
shinau	
shinayaka	
shinbashira	
shini	
shinnyou	shinnyo
shino	
shinobaseru	
shinobigoto	
shinobu	
shinogi	
shinogu	
shinsha	
shinshi	
shinu	
shio	
shiochi	
shiokara	
shiokarai	
shioke	
shioreru	
shiori	
shioru	
shiozuke	
shira	
shirabe	
shiraberu	
shirageru	
shirageyone	
shirakage	
shirakiji	
shirami	
shirasagi	
shirase	
shiraseru	
shireru	
shiri	
shirigai	
shiringu	
shirizokeru	
shirizoku	
shiro	
shiroari	
shirogane	
shiroginu	
shiroi	
shiroko	
shirome	
shirotsuchi	
shirouo	shiroo
shiroyomogi	
shiru	
shirube	
shirushi	
shirusu	
shishi	
shishibishio	
shita	
shitabakama	
shitagaenarasu	
shitagaeru	
shitagaki	
shitagau	
shitagi	
shitagura	
shitami	
shitashii	
shitashiku	
shitashimu	
shitatameru	
shitataru	
shitau	
shite	
shito	
shitogi	
shitomi	
shitone	
shitouzu	shitozu
shitoyaka	
shitsu	
shitsuke	
shitsukeru	
shiuto	
shiutome	
shiwa	
shiwabuki	
shiwabuku	
shiwai	
shizu	
shizuka	
shizukaniyuku	
shizuku	
shizumaru	
shizumeru	
shizumu	
sho	
shoku	
shokusuru	
shou	sho
shouga	shoga
shoujou	shojo
shu	
shuchi	
shuku	
shun	
shungiku	
shunme	
shutsu	
shuu	shu
shuuto	shuto
shuutome	shutome
so	
soba	
sobadateru	
sobadatsu	
sobame	
sobieru	
sobofuru	
sochi	
sodachi	
sodateru	
sodatsu	
sode	
sodekuchi	
soe	
soeita	
soeru	
soeuma	
sogi	
sogo	
sogu	
soi	
soko	
sokonau	
sokoneru	
soku	
sokuzu	
soma	
somaru	
someru	
somukeru	
somuku	
son	
sonaeru	
sonawaru	
sonemu	
sono	
sora	
soranjiru	
sorasu	
sore	
soregashi	
soreru	
sori	
sorikaeru	
soro	
soroban	
soroeru	
soroi	
sorou	soro
sorowanai	
soru	
soshiru	
sosogu	
sosonokasu	
sosoru	
sossuru	
soto	
sotobori	
sotsu	
sou	so
souke	soke
sourou	soro
soyogu	
sozoro	
sozoroni	
su	
subaru	
subashikoi	
subashiri	
subayai	
sube	
subekaraku	
suberasu	
suberu	
subeshi	
subete	
subomeru	
sudama	
sudare	
sudeni	
sue	
sueru	
sugame	
sugaru	
sugata	
suge	
sugeru	
sugi	
sugiru	
sugoi	
sugomu	
sugoroku	
sugorokuban	
sugosu	
sugu	
sugureru	
suhada	
sui	
suji	
sukasu	
suke	
sukeru	
sukesou	sukeso
suki	
sukinoha	
sukoburu	
sukoshi	
sukoyaka	
suku	
sukumo	
sukumomushi	
sukumu	
sukunai	
sukuu	suku
sumai	
sumanai	
sumasu	
sumau	
sumi	
sumire	
sumiyaka	
sumomo	
sumu	
sun	
suna	
sunaji	
sunao	
sunatsuchi	
sunawachi	
sune	
suneru	
sunoko	
suppon	
suraritoshitemimeyoi	
sureru	
suriheru	
suru	
surudoi	
surudokusuru	
surume	
susa	
susabu	
susamajii	
susamu	
sushi	
suso	
susonohida	
susu	
susugu	
susuki	
susumanai	
susumehagemasu	
susumeru	
susumu	
susurinaku	
susuru	
sutareru	
sutaru	
suteoku	
suteru	
sutoronchiumu	
suu	su
suwae	
suwaru	
suzu	
suzuki	
suzume	
suzumu	
suzuri	
suzushii	
suzushiikaze	
suzuyaka	
ta	
taba	
tabakaru	
tabako	
tabaneru	
tabenokoshi	
taberu	
tabi	
tabo	
tabu	
taburakasu	
tabusa	
tachi	
tachibana	
tachikireru	
tachimachi	
tachimotooru	tachimotoru
tachiuo	
tada	
tadachini	
tadanaranu	
tadani	
tadareru	
tadashi	
tadashii	
tadashiikotoba	
tadashikunai	
tadasu	
tadayou	tadayo
tade	
tadori	
tadoru	
tae	
taeru	
tafu	
taga	
tagaeru	
tagai	
tagaini	
tagane	
taganeru	
tagau	
tagayasu	
tagirakasu	
tagiru	
tagoshi	
tagui	
taguu	tagu
tai	
taimai	
taimatsu	
taira	
tairageru	
tairagi	
tairaka	
tairanisuru	
taka	
takaashinonabe	
takabe	
takaburu	
takadono	
takai	
takakukewashii	
takamaru	
takameru	
takamura	
takamushiro	
takaneru	
takanna	
takara	
takatsuki	
take	
takedakeshii	
takedakeshiisama	
takegahikui	
takegoshi	
takemushiro	
takenawa	
takenokawa	
takenoko	
takeru	
takeshi	
takeshii	
taki	
takigi	
tako	
taku	
takumashii	
takumi	
takumu	
takuramu	
takusannoizumi	
takusuru	
takuwaeru	
tama	
tamae	
tamago	
tamaki	
tamamono	
tamari	
tamaru	
tamashii	
tamatama	
tamato	
tamau	
tamawaru	
tamaya	
tame	
tamegi	
tameiki	
tameikisuru	
tamerau	
tameru	
tameshi	
tamesu	
tami	
tamo	
tamoto	
tamotsu	
tamou	tamo
tamuro	
tamushi	
tan	
tana	
tanabiku	
tanago	
tanagokoro	
tane	
tani	
tanigawa	
tanimizu	
tanomoshii	
tanomu	
tanoshii	
tanoshimu	
tanuki	
tao	
taoreru	
taosu	
taoyaka	
tara	
tarai	
tarasu	
tare	
taregami	
tareginu	
tareru	
tari	
tariru	
tariumu	
taru	
taruki	
tarumeru	
tarumu	
tashika	
tashikameru	
tashikani	
tashinameru	
tashinami	
tashinamu	
tasogare	
tassuru	
tasu	
tasukaru	
tasuke	
tasukeru	
tasuki	
tataeru	
tatakau	
tataku	
tatami	
tatamu	
tatari	
tataru	
tatazumu	
tate	
tatefuda	
tategami	
tateito	
tatematsuru	
tateru	
tatoe	
tatoeru	
tatsu	
tatsumi	
tattobu	
tattoi	
tawa	
tawagoto	
tawai	
tawameru	
tawamu	
tawamure	
tawamureru	
tawara	
tayasu	
tayasui	
tayori	
tayoru	
tayumu	
tazuna	
tazuneru	
tazusaeru	
tazusawaru	
te	
teatsui	
teboko	
techi	
tefuki	
tegaru	
tegata	
teguruma	
tei	
tekase	
teki	
teko	
ten	
tenagazaru	
tenmado	
tenmaku	
tenohira	
tera	
terai	
terasu	
terau	
tereru	
teru	
tesuri	
tetsu	
tetsuke	
tetsunokatamari	
teu	
tewa	
tewazagasubayai	
to	
tobari	
tobasu	
tobenai	
tobi	
tobiagaru	
tobichiru	
tobira	
tobiuo	
tobokeru	
toboshii	
toboso	
tobosu	
tobu	
tobuhi	
toburau	
tochi	
tochiyuu	tochiyu
todana	
todo	
todoke	
todokeru	
todokooru	todokoru
todoku	
todomaru	
todome	
todomeru	
todorokasu	
todoroku	
toga	
togameru	
togaru	
toge	
togeru	
togi	
togijiru	
togiregoe	
togireru	
togu	
toguro	
toi	
toiki	
toishi	
tojiru	
tokage	
tokaki	
tokari	
tokasu	
tokeru	
toki	
toko	
tokoro	
tokoshibari	
toku	
toma	
tomaru	
tomeba	
tomeru	
tomi	
tomini	
tomo	
tomoe	
tomogara	
tomonau	
tomoni	
tomoshibi	
tomoshibiooi	tomoshibioi
tomoshii	
tomosu	
tomozuna	
tomu	
tomurau	
ton	
tonae	
tonaeru	
tonari	
tonaru	
tonbi	
toneri	
toneriko	
tono	
tonto	
too	to
tooi	toi
tookunagai	tokunagai
toori	tori
tooru	toru
tooshi	toshi
toosu	tosu
tora	
toraeru	
torawareru	
tori	
toridasu	
toride	
torikabuto	
torikaeru	
torikago	
toriko	
toriku	
torimidasu	
torisaru	
toritsukurou	toritsukuro
toriumu	
toro	
torokasu	
torokeru	
toru	
tose	
toshi	
toshiyori	
toshokan	
tosshinsuru	
totemo	
totonoeru	
totonou	totono
totonowanu	
totsu	
totsugu	
tou	to
touge	toge
toumaru	tomaru
touru	toru
toushin	toshin
tousu	tosu
toutobu	totobu
toutoi	totoi
toya	
toyo	
tozashi	
tozasu	
tsu	
tsuba	
tsubaki	
tsubakura	
tsubakuro	
tsubame	
tsubana	
tsubasa	
tsubi	
tsubo	
tsubomeru	
tsubomi	
tsubone	
tsubu	
tsubureru	
tsuburu	
tsubusani	
tsubusu	
tsubute	
tsubuyaku	
tsuchi	
tsuchibue	
tsuchifuru	
tsuchikau	
tsuchikemuri	
tsuchikure	
tsuchinoe	
tsuchinoto	
tsudau	
tsudou	tsudo
tsue	
tsuga	
tsugai	
tsuge	
tsugeru	
tsugi	
tsugomori	
tsugu	
tsugumi	
tsugumu	
tsugunai	
tsugunau	
tsui	
tsuibamu	
tsuide	
tsuieru	
tsuini	
tsuitachi	
tsuitate	
tsuiyasu	
tsuizu	
tsuji	
tsuka	
tsukae	
tsukaeru	
tsukai	
tsukamaeru	
tsukamaru	
tsukamu	
tsukaneru	
tsukarasu	
tsukareru	
tsukaru	
tsukasa	
tsukasadoru	
tsukasu	
tsukau	
tsukawasu	
tsuke	
tsukehimo	
tsukemono	
tsukeru	
tsuki	
tsukige	
tsukiji	
tsukinohikari	
tsukinoutsukushiihikari	tsukinotsukushiihikari
tsukiru	
tsukisoi	
tsukisou	tsukiso
tsuku	
tsukubau	
tsukuda	
tsukue	
tsukuneru	
tsukura	
tsukuri	
tsukuriwarai	
tsukurou	tsukuro
tsukuru	
tsukusu	
tsukutsukuboushi	tsukutsukuboshi
tsuma	
tsumabasamu	
tsumabiraka	
tsumadateru	
tsumadatsu	
tsumadoru	
tsumako	
tsumami	
tsumamu	
tsumaru	
tsumashii	
tsumazuku	
tsume	
tsumeato	
tsumeru	
tsumetai	
tsumi	
tsumikasaneru	
tsumori	
tsumoru	
tsumu	
tsumugi	
tsumugu	
tsumujikaze	
tsumuru	
tsuna	
tsunagu	
tsunbo	
tsune	
tsuneni	
tsuneru	
tsuno	
tsunogiri	
tsunoru	
tsunosaji	
tsunosakazuki	
tsunzaku	
tsuppori	
tsura	
tsurai	
tsuranaru	
tsuraneru	
tsuranuku	
tsuratsura	
tsureai	
tsurenai	
tsureru	
tsuri	
tsurigane	
tsuriganesou	tsuriganeso
tsuriito	
tsuru	
tsurubenawa	
tsurugi	
tsuruginoha	
tsurusu	
tsuta	
tsutaeru	
tsutanai	
tsutau	
tsutawaru	
tsute	
tsuto	
tsutomaru	
tsutomenai	
tsutomeru	
tsutoni	
tsutsu	
tsutsuganai	
tsutsuku	
tsutsumashii	
tsutsumi	
tsutsumiutsu	
tsutsumu	
tsutsushi	
tsutsushimanai	
tsutsushimi	
tsutsushimiosoreru	
tsutsushimu	
tsuu	tsu
tsuwamono	
tsuya	
tsuyagaaru	
tsuyameku	
tsuyoi	
tsuyoiyumi	
